pollster,sponsor,start.date,end.date,condition,variable,response,population,N
AtlasIntel,,2024-10-25,2024-10-29,age_45.64,vote2024,L,LV,1
AtlasIntel,,2024-10-25,2024-10-29,age_over.64,vote2024,R,LV,369
AtlasIntel,,2024-10-25,2024-10-29,age_over.64,vote2024,D,LV,354
AtlasIntel,,2024-10-25,2024-10-29,age_over.64,vote2024,G,LV,0
AtlasIntel,,2024-10-25,2024-10-29,age_over.64,vote2024,stay home,LV,0
AtlasIntel,,2024-10-25,2024-10-29,age_over.64,vote2024,W,LV,0
AtlasIntel,,2024-10-25,2024-10-29,age_over.64,vote2024,L,LV,0
AtlasIntel,,2024-10-25,2024-10-29,education_college,vote2024,R,LV,527
AtlasIntel,,2024-10-25,2024-10-29,education_college,vote2024,D,LV,718
AtlasIntel,,2024-10-25,2024-10-29,education_college,vote2024,G,LV,17
AtlasIntel,,2024-10-25,2024-10-29,education_college,vote2024,stay home,LV,16
AtlasIntel,,2024-10-25,2024-10-29,education_college,vote2024,W,LV,4
AtlasIntel,,2024-10-25,2024-10-29,education_college,vote2024,L,LV,1
AtlasIntel,,2024-10-25,2024-10-29,education_no.college,vote2024,R,LV,973
AtlasIntel,,2024-10-25,2024-10-29,education_no.college,vote2024,D,LV,708
AtlasIntel,,2024-10-25,2024-10-29,education_no.college,vote2024,G,LV,7
AtlasIntel,,2024-10-25,2024-10-29,education_no.college,vote2024,stay home,LV,3
AtlasIntel,,2024-10-25,2024-10-29,education_no.college,vote2024,W,LV,3
AtlasIntel,,2024-10-25,2024-10-29,education_no.college,vote2024,L,LV,5
AtlasIntel,,2024-10-25,2024-10-29,income_under.50k,vote2024,R,LV,488
AtlasIntel,,2024-10-25,2024-10-29,income_under.50k,vote2024,D,LV,473
AtlasIntel,,2024-10-25,2024-10-29,income_under.50k,vote2024,G,LV,10
AtlasIntel,,2024-10-25,2024-10-29,income_under.50k,vote2024,stay home,LV,0
AtlasIntel,,2024-10-25,2024-10-29,income_under.50k,vote2024,W,LV,1
AtlasIntel,,2024-10-25,2024-10-29,income_under.50k,vote2024,L,LV,1
AtlasIntel,,2024-10-25,2024-10-29,income_between.50k.100k,vote2024,R,LV,638
AtlasIntel,,2024-10-25,2024-10-29,income_between.50k.100k,vote2024,D,LV,528
AtlasIntel,,2024-10-25,2024-10-29,income_between.50k.100k,vote2024,G,LV,8
AtlasIntel,,2024-10-25,2024-10-29,income_between.50k.100k,vote2024,stay home,LV,7
AtlasIntel,,2024-10-25,2024-10-29,income_between.50k.100k,vote2024,W,LV,4
AtlasIntel,,2024-10-25,2024-10-29,income_between.50k.100k,vote2024,L,LV,5
AtlasIntel,,2024-10-25,2024-10-29,income_over.100k,vote2024,R,LV,376
AtlasIntel,,2024-10-25,2024-10-29,income_over.100k,vote2024,D,LV,427
AtlasIntel,,2024-10-25,2024-10-29,income_over.100k,vote2024,G,LV,6
AtlasIntel,,2024-10-25,2024-10-29,income_over.100k,vote2024,stay home,LV,12
AtlasIntel,,2024-10-25,2024-10-29,income_over.100k,vote2024,W,LV,3
AtlasIntel,,2024-10-25,2024-10-29,income_over.100k,vote2024,L,LV,0
AtlasIntel,,2024-10-25,2024-10-29,race_asian,vote2024,R,LV,31
AtlasIntel,,2024-10-25,2024-10-29,race_asian,vote2024,D,LV,38
AtlasIntel,,2024-10-25,2024-10-29,race_asian,vote2024,G,LV,2
AtlasIntel,,2024-10-25,2024-10-29,race_asian,vote2024,stay home,LV,0
AtlasIntel,,2024-10-25,2024-10-29,race_asian,vote2024,W,LV,0
AtlasIntel,,2024-10-25,2024-10-29,race_asian,vote2024,L,LV,0
AtlasIntel,,2024-10-25,2024-10-29,race_black,vote2024,R,LV,86
AtlasIntel,,2024-10-25,2024-10-29,race_black,vote2024,D,LV,188
AtlasIntel,,2024-10-25,2024-10-29,race_black,vote2024,G,LV,2
AtlasIntel,,2024-10-25,2024-10-29,race_black,vote2024,stay home,LV,9
AtlasIntel,,2024-10-25,2024-10-29,race_black,vote2024,W,LV,2
AtlasIntel,,2024-10-25,2024-10-29,race_black,vote2024,L,LV,1
AtlasIntel,,2024-10-25,2024-10-29,race_hispanic,vote2024,R,LV,158
AtlasIntel,,2024-10-25,2024-10-29,race_hispanic,vote2024,D,LV,221
AtlasIntel,,2024-10-25,2024-10-29,race_hispanic,vote2024,G,LV,3
AtlasIntel,,2024-10-25,2024-10-29,race_hispanic,vote2024,stay home,LV,0
AtlasIntel,,2024-10-25,2024-10-29,race_hispanic,vote2024,W,LV,0
AtlasIntel,,2024-10-25,2024-10-29,race_hispanic,vote2024,L,LV,0
AtlasIntel,,2024-10-25,2024-10-29,race_white,vote2024,R,LV,1160
AtlasIntel,,2024-10-25,2024-10-29,race_white,vote2024,D,LV,915
AtlasIntel,,2024-10-25,2024-10-29,race_white,vote2024,G,LV,15
AtlasIntel,,2024-10-25,2024-10-29,race_white,vote2024,stay home,LV,9
AtlasIntel,,2024-10-25,2024-10-29,race_white,vote2024,W,LV,4
AtlasIntel,,2024-10-25,2024-10-29,race_white,vote2024,L,LV,4
AtlasIntel,,2024-10-25,2024-10-29,party.id_dem,vote2024,R,LV,58
AtlasIntel,,2024-10-25,2024-10-29,party.id_dem,vote2024,D,LV,927
AtlasIntel,,2024-10-25,2024-10-29,party.id_dem,vote2024,G,LV,4
AtlasIntel,,2024-10-25,2024-10-29,party.id_dem,vote2024,stay home,LV,9
AtlasIntel,,2024-10-25,2024-10-29,party.id_dem,vote2024,W,LV,2
AtlasIntel,,2024-10-25,2024-10-29,party.id_dem,vote2024,L,LV,0
AtlasIntel,,2024-10-25,2024-10-29,party.id_rep,vote2024,R,LV,1003
AtlasIntel,,2024-10-25,2024-10-29,party.id_rep,vote2024,D,LV,77
AtlasIntel,,2024-10-25,2024-10-29,party.id_rep,vote2024,G,LV,0
AtlasIntel,,2024-10-25,2024-10-29,party.id_rep,vote2024,stay home,LV,0
AtlasIntel,,2024-10-25,2024-10-29,party.id_rep,vote2024,W,LV,0
AtlasIntel,,2024-10-25,2024-10-29,party.id_rep,vote2024,L,LV,0
AtlasIntel,,2024-10-25,2024-10-29,party.id_ind,vote2024,R,LV,440
AtlasIntel,,2024-10-25,2024-10-29,party.id_ind,vote2024,D,LV,422
AtlasIntel,,2024-10-25,2024-10-29,party.id_ind,vote2024,G,LV,20
AtlasIntel,,2024-10-25,2024-10-29,party.id_ind,vote2024,stay home,LV,8
AtlasIntel,,2024-10-25,2024-10-29,party.id_ind,vote2024,W,LV,6
AtlasIntel,,2024-10-25,2024-10-29,party.id_ind,vote2024,L,LV,7
J.L. Partners,,2024-10-26,2024-10-29,gender_male,vote2024,R,LV,1349
J.L. Partners,,2024-10-26,2024-10-29,gender_male,vote2024,D,LV,859
J.L. Partners,,2024-10-26,2024-10-29,gender_male,vote2024,K,LV,19
J.L. Partners,,2024-10-26,2024-10-29,gender_male,vote2024,G,LV,14
J.L. Partners,,2024-10-26,2024-10-29,gender_male,vote2024,W,LV,5
J.L. Partners,,2024-10-26,2024-10-29,gender_male,vote2024,L,LV,19
J.L. Partners,,2024-10-26,2024-10-29,gender_female,vote2024,R,LV,1092
J.L. Partners,,2024-10-26,2024-10-29,gender_female,vote2024,D,LV,1466
J.L. Partners,,2024-10-26,2024-10-29,gender_female,vote2024,K,LV,36
J.L. Partners,,2024-10-26,2024-10-29,gender_female,vote2024,G,LV,26
J.L. Partners,,2024-10-26,2024-10-29,gender_female,vote2024,W,LV,0
J.L. Partners,,2024-10-26,2024-10-29,gender_female,vote2024,L,LV,26
J.L. Partners,,2024-10-26,2024-10-29,age_18.29,vote2024,R,LV,89
J.L. Partners,,2024-10-26,2024-10-29,age_18.29,vote2024,D,LV,138
J.L. Partners,,2024-10-26,2024-10-29,age_18.29,vote2024,K,LV,0
J.L. Partners,,2024-10-26,2024-10-29,age_18.29,vote2024,G,LV,6
J.L. Partners,,2024-10-26,2024-10-29,age_18.29,vote2024,W,LV,0
J.L. Partners,,2024-10-26,2024-10-29,age_18.29,vote2024,L,LV,0
J.L. Partners,,2024-10-26,2024-10-29,age_30.49,vote2024,R,LV,444
J.L. Partners,,2024-10-26,2024-10-29,age_30.49,vote2024,D,LV,405
J.L. Partners,,2024-10-26,2024-10-29,age_30.49,vote2024,K,LV,21
J.L. Partners,,2024-10-26,2024-10-29,age_30.49,vote2024,G,LV,6
J.L. Partners,,2024-10-26,2024-10-29,age_30.49,vote2024,W,LV,3
J.L. Partners,,2024-10-26,2024-10-29,age_30.49,vote2024,L,LV,15
J.L. Partners,,2024-10-26,2024-10-29,age_50.64,vote2024,R,LV,420
J.L. Partners,,2024-10-26,2024-10-29,age_50.64,vote2024,D,LV,333
J.L. Partners,,2024-10-26,2024-10-29,age_50.64,vote2024,K,LV,6
J.L. Partners,,2024-10-26,2024-10-29,age_50.64,vote2024,G,LV,0
J.L. Partners,,2024-10-26,2024-10-29,age_50.64,vote2024,W,LV,0
J.L. Partners,,2024-10-26,2024-10-29,age_50.64,vote2024,L,LV,6
J.L. Partners,,2024-10-26,2024-10-29,age_over.64,vote2024,R,LV,356
J.L. Partners,,2024-10-26,2024-10-29,age_over.64,vote2024,D,LV,312
J.L. Partners,,2024-10-26,2024-10-29,age_over.64,vote2024,K,LV,5
J.L. Partners,,2024-10-26,2024-10-29,age_over.64,vote2024,G,LV,5
J.L. Partners,,2024-10-26,2024-10-29,age_over.64,vote2024,W,LV,0
J.L. Partners,,2024-10-26,2024-10-29,age_over.64,vote2024,L,LV,5
J.L. Partners,,2024-10-26,2024-10-29,race_white,vote2024,R,LV,2839
J.L. Partners,,2024-10-26,2024-10-29,race_white,vote2024,D,LV,1968
J.L. Partners,,2024-10-26,2024-10-29,race_white,vote2024,K,LV,28
J.L. Partners,,2024-10-26,2024-10-29,race_white,vote2024,G,LV,35
J.L. Partners,,2024-10-26,2024-10-29,race_white,vote2024,W,LV,7
J.L. Partners,,2024-10-26,2024-10-29,race_white,vote2024,L,LV,50
J.L. Partners,,2024-10-26,2024-10-29,race_hispanic,vote2024,R,LV,52
J.L. Partners,,2024-10-26,2024-10-29,race_hispanic,vote2024,D,LV,60
J.L. Partners,,2024-10-26,2024-10-29,race_hispanic,vote2024,K,LV,3
J.L. Partners,,2024-10-26,2024-10-29,race_hispanic,vote2024,G,LV,0
J.L. Partners,,2024-10-26,2024-10-29,race_hispanic,vote2024,W,LV,0
J.L. Partners,,2024-10-26,2024-10-29,race_hispanic,vote2024,L,LV,0
J.L. Partners,,2024-10-26,2024-10-29,race_black,vote2024,R,LV,19
J.L. Partners,,2024-10-26,2024-10-29,race_black,vote2024,D,LV,99
J.L. Partners,,2024-10-26,2024-10-29,race_black,vote2024,K,LV,2
J.L. Partners,,2024-10-26,2024-10-29,race_black,vote2024,G,LV,3
J.L. Partners,,2024-10-26,2024-10-29,race_black,vote2024,W,LV,0
J.L. Partners,,2024-10-26,2024-10-29,race_black,vote2024,L,LV,1
J.L. Partners,,2024-10-26,2024-10-29,party.id_rep,vote2024,R,LV,1036
J.L. Partners,,2024-10-26,2024-10-29,party.id_rep,vote2024,D,LV,53
J.L. Partners,,2024-10-26,2024-10-29,party.id_rep,vote2024,K,LV,0
J.L. Partners,,2024-10-26,2024-10-29,party.id_rep,vote2024,G,LV,0
J.L. Partners,,2024-10-26,2024-10-29,party.id_rep,vote2024,W,LV,0
J.L. Partners,,2024-10-26,2024-10-29,party.id_rep,vote2024,L,LV,3
J.L. Partners,,2024-10-26,2024-10-29,party.id_ind,vote2024,R,LV,553
J.L. Partners,,2024-10-26,2024-10-29,party.id_ind,vote2024,D,LV,481
J.L. Partners,,2024-10-26,2024-10-29,party.id_ind,vote2024,K,LV,37
J.L. Partners,,2024-10-26,2024-10-29,party.id_ind,vote2024,G,LV,24
J.L. Partners,,2024-10-26,2024-10-29,party.id_ind,vote2024,W,LV,0
J.L. Partners,,2024-10-26,2024-10-29,party.id_ind,vote2024,L,LV,24
J.L. Partners,,2024-10-26,2024-10-29,party.id_dem,vote2024,R,LV,45
J.L. Partners,,2024-10-26,2024-10-29,party.id_dem,vote2024,D,LV,948
J.L. Partners,,2024-10-26,2024-10-29,party.id_dem,vote2024,K,LV,0
J.L. Partners,,2024-10-26,2024-10-29,party.id_dem,vote2024,G,LV,3
J.L. Partners,,2024-10-26,2024-10-29,party.id_dem,vote2024,W,LV,3
J.L. Partners,,2024-10-26,2024-10-29,party.id_dem,vote2024,L,LV,3
J.L. Partners,,2024-10-26,2024-10-29,vote2020_R,vote2024,R,LV,1454
J.L. Partners,,2024-10-26,2024-10-29,vote2020_R,vote2024,D,LV,39
J.L. Partners,,2024-10-26,2024-10-29,vote2020_R,vote2024,K,LV,28
J.L. Partners,,2024-10-26,2024-10-29,vote2020_R,vote2024,G,LV,0
J.L. Partners,,2024-10-26,2024-10-29,vote2020_R,vote2024,W,LV,0
J.L. Partners,,2024-10-26,2024-10-29,vote2020_R,vote2024,L,LV,4
J.L. Partners,,2024-10-26,2024-10-29,vote2020_D,vote2024,R,LV,83
J.L. Partners,,2024-10-26,2024-10-29,vote2020_D,vote2024,D,LV,1577
J.L. Partners,,2024-10-26,2024-10-29,vote2020_D,vote2024,K,LV,4
J.L. Partners,,2024-10-26,2024-10-29,vote2020_D,vote2024,G,LV,21
J.L. Partners,,2024-10-26,2024-10-29,vote2020_D,vote2024,W,LV,4
J.L. Partners,,2024-10-26,2024-10-29,vote2020_D,vote2024,L,LV,8
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,moi,the economy,RV,393
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,moi,immigration,RV,105
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,moi,social issues,RV,306
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,moi,healthcare,RV,77
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,moi,the environment,RV,63
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,moi,threats to democracy,RV,46
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,moi,national security and foreign policy,RV,21
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,moi,other,RV,7
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,fav_harris,favourable,RV,182
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,fav_harris,unfavourable,RV,155
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,fav_harris,no opinion,RV,14
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,fav_trump,favourable,RV,137
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,fav_trump,unfavourable,RV,208
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,fav_trump,no opinion,RV,11
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,vote2024,D,RV,186
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,vote2024,R,RV,144
Angus Reid Global,,2024-10-23,2024-10-27,region_northeast,vote2024,OTHER,RV,21
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,moi,the economy,RV,503
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,moi,immigration,RV,151
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,moi,social issues,RV,391
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,moi,healthcare,RV,111
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,moi,the environment,RV,58
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,moi,threats to democracy,RV,67
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,moi,national security and foreign policy,RV,22
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,moi,other,RV,9
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,fav_harris,favourable,RV,196
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,fav_harris,unfavourable,RV,232
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,fav_harris,no opinion,RV,18
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,fav_trump,favourable,RV,209
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,fav_trump,unfavourable,RV,227
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,fav_trump,no opinion,RV,9
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,vote2024,D,RV,209
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,vote2024,R,RV,222
Angus Reid Global,,2024-10-23,2024-10-27,region_midwest,vote2024,OTHER,RV,9
Angus Reid Global,,2024-10-23,2024-10-27,region_south,moi,the economy,RV,825
Angus Reid Global,,2024-10-23,2024-10-27,region_south,moi,immigration,RV,229
Angus Reid Global,,2024-10-23,2024-10-27,region_south,moi,social issues,RV,596
Angus Reid Global,,2024-10-23,2024-10-27,region_south,moi,healthcare,RV,179
Angus Reid Global,,2024-10-23,2024-10-27,region_south,moi,the environment,RV,100
Angus Reid Global,,2024-10-23,2024-10-27,region_south,moi,threats to democracy,RV,93
Angus Reid Global,,2024-10-23,2024-10-27,region_south,moi,national security and foreign policy,RV,22
Angus Reid Global,,2024-10-23,2024-10-27,region_south,moi,other,RV,22
Angus Reid Global,,2024-10-23,2024-10-27,region_south,fav_harris,favourable,RV,302
Angus Reid Global,,2024-10-23,2024-10-27,region_south,fav_harris,unfavourable,RV,387
Angus Reid Global,,2024-10-23,2024-10-27,region_south,fav_harris,no opinion,RV,22
Angus Reid Global,,2024-10-23,2024-10-27,region_south,fav_trump,favourable,RV,351
Angus Reid Global,,2024-10-23,2024-10-27,region_south,fav_trump,unfavourable,RV,352
Angus Reid Global,,2024-10-23,2024-10-27,region_south,fav_trump,no opinion,RV,22
Angus Reid Global,,2024-10-23,2024-10-27,region_south,vote2024,D,RV,323
Angus Reid Global,,2024-10-23,2024-10-27,region_south,vote2024,R,RV,373
Angus Reid Global,,2024-10-23,2024-10-27,region_south,vote2024,OTHER,RV,29
Angus Reid Global,,2024-10-23,2024-10-27,region_west,moi,the economy,RV,465
Angus Reid Global,,2024-10-23,2024-10-27,region_west,moi,immigration,RV,104
Angus Reid Global,,2024-10-23,2024-10-27,region_west,moi,social issues,RV,358
Angus Reid Global,,2024-10-23,2024-10-27,region_west,moi,healthcare,RV,83
Angus Reid Global,,2024-10-23,2024-10-27,region_west,moi,the environment,RV,83
Angus Reid Global,,2024-10-23,2024-10-27,region_west,moi,threats to democracy,RV,79
Angus Reid Global,,2024-10-23,2024-10-27,region_west,moi,national security and foreign policy,RV,21
Angus Reid Global,,2024-10-23,2024-10-27,region_west,moi,other,RV,12
Angus Reid Global,,2024-10-23,2024-10-27,region_west,fav_harris,favourable,RV,237
Angus Reid Global,,2024-10-23,2024-10-27,region_west,fav_harris,unfavourable,RV,171
Angus Reid Global,,2024-10-23,2024-10-27,region_west,fav_harris,no opinion,RV,8
Angus Reid Global,,2024-10-23,2024-10-27,region_west,fav_trump,favourable,RV,162
Angus Reid Global,,2024-10-23,2024-10-27,region_west,fav_trump,unfavourable,RV,245
Angus Reid Global,,2024-10-23,2024-10-27,region_west,fav_trump,no opinion,RV,4
Angus Reid Global,,2024-10-23,2024-10-27,region_west,vote2024,D,RV,233
Angus Reid Global,,2024-10-23,2024-10-27,region_west,vote2024,R,RV,166
Angus Reid Global,,2024-10-23,2024-10-27,region_west,vote2024,OTHER,RV,17
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,moi,the economy,RV,1113
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,moi,immigration,RV,318
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,moi,social issues,RV,692
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,moi,healthcare,RV,187
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,moi,the environment,RV,140
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,moi,threats to democracy,RV,159
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,moi,national security and foreign policy,RV,56
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,moi,other,RV,28
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,fav_harris,favourable,RV,411
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,fav_harris,unfavourable,RV,505
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,fav_harris,no opinion,RV,28
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,fav_trump,favourable,RV,458
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,fav_trump,unfavourable,RV,449
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,fav_trump,no opinion,RV,28
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,vote2024,D,RV,421
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,vote2024,R,RV,477
Angus Reid Global,,2024-10-23,2024-10-27,gender_male,vote2024,OTHER,RV,37
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,moi,the economy,RV,1064
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,moi,immigration,RV,278
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,moi,social issues,RV,954
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,moi,healthcare,RV,268
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,moi,the environment,RV,159
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,moi,threats to democracy,RV,119
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,moi,national security and foreign policy,RV,30
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,moi,other,RV,20
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,fav_harris,favourable,RV,507
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,fav_harris,unfavourable,RV,458
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,fav_harris,no opinion,RV,40
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,fav_trump,favourable,RV,397
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,fav_trump,unfavourable,RV,567
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,fav_trump,no opinion,RV,30
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,vote2024,D,RV,527
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,vote2024,R,RV,427
Angus Reid Global,,2024-10-23,2024-10-27,gender_female,vote2024,OTHER,RV,40
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,moi,the economy,RV,445
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,moi,immigration,RV,69
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,moi,social issues,RV,441
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,moi,healthcare,RV,108
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,moi,the environment,RV,86
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,moi,threats to democracy,RV,69
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,moi,national security and foreign policy,RV,22
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,moi,other,RV,9
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,fav_harris,favourable,RV,246
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,fav_harris,unfavourable,RV,165
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,fav_harris,no opinion,RV,17
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,fav_trump,favourable,RV,168
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,fav_trump,unfavourable,RV,246
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,fav_trump,no opinion,RV,17
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,vote2024,D,RV,251
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,vote2024,R,RV,160
Angus Reid Global,,2024-10-23,2024-10-27,age_18.34,vote2024,OTHER,RV,22
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,moi,the economy,RV,739
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,moi,immigration,RV,159
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,moi,social issues,RV,514
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,moi,healthcare,RV,135
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,moi,the environment,RV,104
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,moi,threats to democracy,RV,80
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,moi,national security and foreign policy,RV,18
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,moi,other,RV,18
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,fav_harris,favourable,RV,281
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,fav_harris,unfavourable,RV,300
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,fav_harris,no opinion,RV,31
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,fav_trump,favourable,RV,270
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,fav_trump,unfavourable,RV,318
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,fav_trump,no opinion,RV,18
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,vote2024,D,RV,294
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,vote2024,R,RV,288
Angus Reid Global,,2024-10-23,2024-10-27,age_35.54,vote2024,OTHER,RV,24
Angus Reid Global,,2024-10-23,2024-10-27,age_over.55,moi,the economy,RV,1000
Angus Reid Global,,2024-10-23,2024-10-27,age_over.55,moi,immigration,RV,363
Angus Reid Global,,2024-10-23,2024-10-27,age_over.55,moi,social issues,RV,691
